stoi,value,error,name,symbol,number
1,,,Actinium,Ac,89
1,42.55,0.2,Silver,Ag,47
1,28.3,0.1,Aluminum,Al,13
1,55.4,2,Americium,Am,95
1,154.846,0.003,Argon,Ar,18
1,35.1,0.6,Arsenic,As,33
2,,,Astatine,At,85
1,,,Gold,Au,79
1,5.9,0.08,Boron,B,5
1,62.42,0.84,Barium,Ba,56
1,9.5,0.08,Beryllium,Be,4
1,56.74,0.42,Bismuth,Bi,83
1,,,Berkelium,Bk,97
2,152.21,0.3,Bromine,Br,35
1,5.74,0.1,Carbon,C,6
1,41.59,0.4,Calcium,Ca,20
1,51.8,0.15,Cadmium,Cd,48
1,,,Cerium,Ce,58
1,,,Californium,Cf,98
2,223.081,0.01,Chlorine,Cl,17
1,,,Curium,Cm,96
1,,,Cobalt,Co,27
1,,,Chromium,Cr,24
1,85.23,0.4,Cesium,Cs,55
1,33.15,0.08,Copper,Cu,29
1,,,Dysprosium,Dy,66
1,,,Erbium,Er,68
1,,,Einsteinium,Es,99
1,,,Europium,Eu,63
2,202.791,0.005,Fluorine,F,9
1,27.085,0.16,Iron,Fe,26
1,,,Fermium,Fm,100
1,,,Francium,Fr,87
1,,,Gallium,Ga,31
1,,,Gadolinium,Gd,64
1,31.09,0.15,Germanium,Ge,32
2,130.68,0.003,Hydrogen,H,1
1,126.153,0.002,Helium,He,2
1,,,Hafnium,Hf,72
1,75.9,0.12,Mercury,Hg,80
1,,,Holmium,Ho,67
2,116.14,0.3,Iodine,I,53
1,,,Indium,In,49
1,,,Iridium,Ir,77
1,64.68,0.2,Potassium,K,19
1,164.085,0.003,Krypton,Kr,36
1,,,Lanthanum,La,57
1,29.12,0.2,Lithium,Li,3
1,,,Lawrencium,Lr,103
1,,,Lutetium,Lu,71
1,,,Mendelevium,Md,101
1,32.67,0.1,Magnesium,Mg,12
1,,,Manganese,Mn,25
1,,,Molybdenum,Mo,42
2,191.609,0.004,Nitrogen,N,7
1,51.3,0.2,Sodium,Na,11
1,,,Niobium,Nb,41
1,,,Neodymium,Nd,60
1,146.328,0.003,Neon,Ne,10
1,29.87,0.2,Nickel,Ni,28
1,,,Nobelium,No,102
1,50.46,0.8,Neptunium,Np,93
2,205.152,0.005,Oxygen,O,8
1,,,Osmium,Os,76
1,41.09,0.25,Phosphorus,P,15
1,,,Protactinium,Pa,91
1,64.8,0.3,Lead,Pb,82
1,,,Palladium,Pd,46
1,,,Promethium,Pm,61
1,,,Polonium,Po,84
1,,,Praseodymium,Pr,59
1,,,Platinum,Pt,78
1,54.46,0.8,Plutonium,Pu,94
1,,,Radium,Ra,88
1,76.78,0.3,Rubidium,Rb,37
1,,,Rhenium,Re,75
1,,,Rhodium,Rh,45
1,,,Radon,Rn,86
1,,,Ruthenium,Ru,44
1,32.054,0.05,Sulfur,S,16
1,45.52,0.21,Antimony,Sb,51
1,,,Scandium,Sc,21
1,42.09,0.33,Selenium,Se,34
1,18.81,0.08,Silicon,Si,14
1,,,Samarium,Sm,62
1,51.18,0.08,Tin,Sn,50
1,55.7,0.21,Strontium,Sr,38
1,,,Tantalum,Ta,73
1,,,Terbium,Tb,65
1,32.506,0.7,Technetium,Tc,43
1,49.221,0.05,Tellurium,Te,52
1,52.64,0.5,Thorium,Th,90
1,30.72,0.1,Titanium,Ti,22
1,,,Thallium,Tl,81
1,,,Thulium,Tm,69
1,50.2,0.2,Uranium,U,92
1,,,Vanadium,V,23
1,,,Tungsten,W,74
1,169.685,0.003,Xenon,Xe,54
1,,,Yttrium,Y,39
1,,,Ytterbium,Yb,70
1,41.63,0.15,Zinc,Zn,30
1,39.08,0.1,Zirconium,Zr,40
