symbol,C_S(CSH),formula,Ca,Si,O,H,MolMassCSH,MolVolCSH,G0(CSH)ic,G0(CSH)dc,H0(CSH),Hmix(CSH),Cp0(CSH),,
CSH072,0.72257599,Ca2.112414Si2.923449O11.071726H6.224828,2.112414,2.923449,11.071726,6.2248276,0.35018314,13.882576,-4688.2309,-4688.2309,-5078.3457,-3.0562343,348.65586,CSH0.72,0.72
CSH067,0.67216977,Ca2.008115Si2.987512O10.991253H6.01623,2.0081149,2.9875115,10.991253,6.0162298,0.34630449,13.841637,-4644.7402,-4644.7402,-5029.3895,-0.37296678,347.654,CSH0.67,0.67
CSH071,0.70753405,Ca2.079609Si2.939235O11.037689H6.159218,2.079609,2.9392353,11.037689,6.1592179,0.34870104,13.861307,-4671.0028,-4671.0028,-5059.0149,-2.3427488,348.13746,CSH0.71,0.71
CSH080,0.80043234,Ca2.270013Si2.835983O11.211977H6.539995,2.2700128,2.8359834,11.211977,6.5399947,0.35660448,13.958616,-4759.8985,-4759.8985,-5159.9417,-5.9889628,350.51205,CSH0.8,0.8
CSH090,0.89739033,Ca2.441754Si2.720949O11.324503H6.881701,2.4417536,2.7209492,11.324503,6.8817012,0.36240148,13.997433,-4818.738,-4818.738,-5229.178,-8.0516639,351.46622,CSH0.9,0.9
CSH099,0.99228862,Ca2.584747Si2.604834O11.35897H7.129113,2.5847466,2.6048335,11.35897,7.1291132,0.36567202,13.983039,-4843.9875,-4843.9875,-5261.1023,-8.6976842,351.12746,CSH0.99,0.99
CSH109,1.0864287,Ca2.709753Si2.494184O11.305546H7.21485,2.7097531,2.494184,11.305546,7.2148501,0.36680605,13.920751,-4841.4836,-4841.4836,-5260.112,-8.6427748,349.6278,CSH1.09,1.09
CSH118,1.181391,Ca2.826186Si2.392253O11.217334H7.213287,2.8261855,2.3922525,11.217334,7.2132868,0.36719672,13.84806,-4829.8828,-4829.8828,-5247.6605,-8.3972893,347.87632,CSH1.18,1.18
CSH128,1.2767036,Ca2.935084Si2.298955O11.125666H7.185344,2.9350842,2.298955,11.125666,7.1853441,0.36744606,13.766466,-4817.3438,-4817.3438,-5234.0455,-8.0206194,345.90957,CSH1.28,1.28
CSH137,1.3718315,Ca3.037418Si2.214133O11.041187H7.151006,3.0374176,2.2141331,11.041187,7.1510056,0.36777887,13.685316,-4806.8403,-4806.8403,-5222.7575,-7.5300425,343.95376,CSH1.37,1.37
CSH147,1.4662423,Ca3.134851Si2.138017O10.970446H7.119121,3.1348513,2.1380173,10.970446,7.1191208,0.36838213,13.643179,-4800.7219,-4800.7219,-5215.709,-6.9519631,342.94169,CSH1.47,1.47
CSH156,1.5588811,Ca3.23019Si2.072121O10.923168H7.097475,3.2301897,2.0721206,10.923168,7.097475,0.36957412,13.698858,-4803.2477,-4803.2477,-5216.1968,-6.3209642,344.29405,CSH1.56,1.56
CSH165,1.6462022,Ca3.329915Si2.022786O10.926777H7.10258,3.3299147,2.022786,10.926777,7.1025798,0.3722482,13.791084,-4826.2007,-4826.2007,-5239.5563,-5.6903924,346.5356,CSH1.65,1.65
CSH172,1.717504,Ca3.439573Si2.002658O11.026098H7.162417,3.4395734,2.0026582,11.026098,7.1624168,0.37772719,13.99027,-4887.7054,-4887.7054,-5305.0107,-5.1328216,351.37134,CSH1.72,1.72
CSH177,1.7670278,Ca3.534473Si2.000236O11.158801H7.247712,3.5344728,2.0002361,11.158801,7.2477118,0.38367168,14.210291,-4957.9339,-4957.9339,-5380.4823,-4.6587861,356.71103,CSH1.77,1.77
CSH180,1.8011872,Ca3.602433Si2.000032O11.263488H7.321981,3.6024326,2.0000323,11.263488,7.3219808,0.38813943,14.376024,-5010.9965,-5010.9965,-5437.851,-4.2704825,360.73259,CSH1.8,1.8
CSH183,1.8251674,Ca3.650347Si2.000007O11.341298H7.381875,3.6503472,2.0000068,11.341298,7.381875,0.39136433,14.495685,-5049.3205,-5049.3205,-5479.4935,-3.9626049,363.63595,CSH1.83,1.83
CSH184,1.8426536,Ca3.685311Si2.000002O11.400358H7.430087,3.6853108,2.000002,11.400358,7.4300867,0.39375899,14.584547,-5077.7839,-5077.7839,-5510.5404,-3.7155973,365.79185,CSH1.84,1.84
CSH186,1.8559592,Ca3.71192Si2.000001O11.44666H7.469477,3.7119197,2.0000007,11.44666,7.4694772,0.39560589,14.653088,-5099.7382,-5099.7382,-5534.5553,-3.5123745,367.45458,CSH1.86,1.86
CSH187,1.8664744,Ca3.732949Si2O11.484075H7.50225,3.7329493,2.0000003,11.484075,7.5022502,0.39708035,14.707814,-5117.2652,-5117.2652,-5553.7629,-3.341018,368.78194,CSH1.87,1.87
CSH188,1.8750571,Ca3.750114Si2O11.51514H7.53005,3.7501144,2.0000002,11.51514,7.5300497,0.39829333,14.752837,-5131.683,-5131.683,-5569.5869,-3.1933359,369.87386,CSH1.88,1.88
